Name,Address,Lat,Long,Status,Owner,Owner Type,Operator,Developer,Capacity MW electricity,Capacity MW gas,Capacity MW heat,Tonnes of waste pa,Typology Of Technology,Simple Renewable Technology  Type,Technology Provider,Potential Carbon Reduction (tonnes),Calculated or Disclosed Carbon Reduction (Tonnes per year),Conditions For Deployment,Timetable,Other Associated Infrastructure,Scale,Cost Of Deployment,Readiness Of Technology,Source of information,Date found,Found by
"Birmingham Bio Power Plant, Tylesey","Hay Mills, Tyseley, Birmingham",52.45444,-1.83406,Operating 2016,"Financed by an investment consortium comprised of Green Investment Bank (GIB), Balfour Beatty, Eternity Capital Management, Foresight’s UK Waste Resources and Energy Investments (UKWREI) fund, and Carbonarius’ GCP Infrastructure Fund (GCP).
GIB and GCP will provide debt financing of £12m ($19.9m) and £11m ($18.24m) respectively by way of preferred loans. The remaining cost will be met through £24.8m ($41.13m) of equity investment comprising of £6.2m ($10.28m) investment from GIB through Foresight’s UKWREI fund, Eternity Capital Management’s £6.2m ($10.28m) investment, and Balfour Beatty’s £12.4m ($20.5m) investment.",Commerical,"Tyseley Energy Park
Webster and Horsfall","Carbonarius, JV O-Gen UK and Una Group",10.3,,,72000,Gasification waste timber,Energy from Waste,"MTH / MWH Treatment.
Nexterra Gasification technology.",107000,107000,Operating,Construction 2014. Commissioning 2016.,Tyseley Energy Park,"10.3 MW electric.
17,000 UK households a year. The project is expected to create 100 jobs during construction and 19 permanent jobs during operation.","£47,800,000",Ready - 7 operating projects North America,https://www.power-technology.com/projects/birmingham-bio-power-plant-tyseley/ and https://www.energycapital.org.uk/news/tyseley-energy-park-investment-to-fuel-low-carbon-agenda/,14/8/18,Becki Clark
"Birmingham Low and Zero Carbon Refuelling Hub, Tyseley",Fordrough Webster & Horsfall South Yardley Birmingham B25 8DW,52.462953,-1.840649,Planning Permission Granted: 2016/06867/PA,"Financed by an investment consortium comprised of Green Investment Bank (GIB), Balfour Beatty, Eternity Capital Management, Foresight’s UK Waste Resources and Energy Investments (UKWREI) fund, and Carbonarius’ GCP Infrastructure Fund (GCP).
GIB and GCP will provide debt financing of £12m ($19.9m) and £11m ($18.24m) respectively by way of preferred loans. The remaining cost will be met through £24.8m ($41.13m) of equity investment comprising of £6.2m ($10.28m) investment from GIB through Foresight’s UKWREI fund, Eternity Capital Management’s £6.2m ($10.28m) investment, and Balfour Beatty’s £12.4m ($20.5m) investment.",Commercial,"Tyseley Energy Park
Webster and Horsfall","Carbonarius, JV O-Gen UK and Una Group

DACH Planning
Webster And Horsfall
Hay Mills
Birmingham
B25 8DW",,,,,Zero or Low Carbon Refuelling Hub,Zero / Low Carbon Refuelling Hub,"ITM Power - Hydrogen 
Compressed Natural Gas(CNG Fuels)
Biodiesel
150kw Electric Vehicle Rapid Chargers",,0,TBC - planning permission granted phase 2 of above project.,,"Tyseley Energy Park, Birmingham Bio Power Plant Tyseley",,,Ready,"https://www.tyseleyenergy.co.uk/tyseley-refuelling-hub/
https://www.energycapital.org.uk/tyseley-energy-park/",05/09/18,Jodie Schram
Birmingham 'Thermal Belt',Fordrough Webster & Horsfall South Yardley Birmingham B25 8DW,52.462953,-1.840649,Operating,"University of Birmingham/Birmingham Energy Institute 
Fraunhofer Institute",Commerical,Webster & Horsfall,"Professor Andreas Hornung
University of Birmingham/Birmingham Energy Institute",,,,,"Thermal Catalystic Reformer(TCR)
80kg p/h biomass or plastic residues into Bio Oil, Hydrogen, Rich Synthetic Gas, Bio Char for energy generation",Energy from Waste,Fraunhofer Instituite and University of Birmingham,,0,"1 Operational TCR, plans for 15-20 across the city.",,"Tyseley Energy Park, Birmingham Bio Power Plant Tyseley, Birmingham low or zero carbon refuelling hub",,Funded by £60m Innovate UK Energy Research Accelorator,Small Scale Ready,https://www.birmingham.ac.uk/research/activity/energy/events/Birmingham-–-Fraunhofer-Joint-Research-Platform-Launch-Event.aspx,06/09/18,Jodie Schram
"ICC Energy Centre, Broad Street Scheme ","Broad Street, B1 2HP",52.478694,-1.910786,Operating 2007,"Cofely - GDF SUEZ,  ENGIE - BDEC, BCC",Commercial,ENGIE - Under name Brimingham District Energy Company(BDEC),ENGIE and Birmingham City Council,3.6,,11.8,,"Tri-generator (heat, power and cooling) ",Trigeneration,ENGIE - BDEC,"3,000 tonnes carbon p/a",3000,Operating,,Birmingham District Energy Scheme,,£7million for the entire scheme ,Ready,http://www.engie.co.uk/wp-content/uploads/2016/12/birmingham-district-energy-cpc-online.pdf,12/09/18,Jodie Schram
Birmingham Children's Hospital(BCH) New Energy Scheme (Networked),"Steelhouse Lane, B4 6NH",52.484393,-1.893946,Operating 2010,"Cofely - GDF SUEZ,  ENGIE - BDEC, BCC",Commerical,ENGIE - Under name Brimingham District Energy Company(BDEC),ENGIE and Birmingham City Council,1.8,,1,,CHP system - Reciprocrating Engine,Combined heat and power,ENGIE - BDEC,"4,300 tonnes carbon p/a",4300,Operating,,Birmingham District Energy Scheme,,£7million for the entire scheme ,Ready,http://www.engie.co.uk/wp-content/uploads/2016/12/birmingham-district-energy-cpc-online.pdf,12/09/18,Jodie Schram
"Eastside Scheme, Jennens Road Energy Centre","Jennens Road, B4 7EN",52.484053,-1.886086,Operating 2009,"Cofely - GDF SUEZ,  ENGIE - BDEC, BCC",Commercial,ENGIE - Under name Brimingham District Energy Company(BDEC),ENGIE and Birmingham City Council,3.5,,14.3,,CHP system,Combined heat and power,ENGIE - BDEC,"5,300 tonnes carbon p/a",5300,Operating,,Birmingham District Energy Scheme,,£7million for the entire scheme ,Ready,http://www.engie.co.uk/wp-content/uploads/2016/12/birmingham-district-energy-cpc-online.pdf,12/09/18,Jodie Schram
Birmingham New Street ,"Birmingham New Street Station, B2 4QA",52.478314,-1.897923,Operating 2017,"Cofely - GDF SUEZ,  ENGIE - BDEC, BCC",Commerical,ENGIE - Under name Brimingham District Energy Company(BDEC),ENGIE and Birmingham City Council,1.6,,,,CHP system,Combined heat and power,ENGIE - BDEC,"3,000 tonnes carbon p/a",3000,Operating,,Birmingham District Energy Scheme,1.5km of pipe infrastructure,£4million,Ready,http://www.engie.co.uk/wp-content/uploads/2016/12/birmingham-district-energy-cpc-online.pdf,12/09/18,Jodie Schram
Birmingham Cycle Revolution,"Victoria Square, B1 1BB",52.479788,-1.902804,Phase 2 - Delivery 2016-2021,Birmingham City Council ,Council,Birmingham City Council ,Birmingham City Council ,,,,,,Cycle paths,,"target of 5% cycling by 2023
+ over 10% by 2033
Phase 2 - estimates a reduction of car traffic by 467931km p/a",0,"future roll out for 2023
already partially complete",,,99.5km of Cycle Routes 20 min Cycle Time Radius around Birmingham City Centre,"Phase 1 - £17m Funding secured - 2013 by the DfT grant Cycle City Ambition Grant +  BCC contribuition of £6m

Phase 2 investment - Local Growth Fund funding £6m + BCC contribuition of £2m",,https://www.birmingham.gov.uk/downloads/file/7825/bcr_phase_2_-_transport_scheme_business_case,11/09/18,Jodie Schram
Jewellery Quarter Proposal BuroHappold Engineering,"Carver Street, Jewellery Quarter, B1",52.485794,-1.915435,Proposal,,Commercial,,,,1.4,,,"1.2km heat netwrok
CHP 
plus leak load gas boilers ",Combined heat and power,Proposed by BuroHappold,,2506,"Proposal would require funding, development and operator 
energy centre estimated cost £5mn
no positive NPV after 25years however could generate up to 7% IRR if a private electrivity sales arrangement was possible. ",Initial Proposal from BuroHappold Engineering to BCC on 03/03/15,,,energy centre estimated £5mn,Ready,Birmingham Decentralised Energy Mapping - produced for BCC by Burohappold Engineering,12/09/18,Jodie Schram
Ecopod Energy,"Kendal Tower, Malins Road, Metchley Grange Estate, Harborne, B17 0JZ",52.456043,-1.946702,Operating ,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",3000,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Methley House, Bantock Way, Birmingham, B17 0JD",52.455614,-1.946556,Operating,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",3000,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
